Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"MX305_SQL01CNT_IN","DB1002,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"MX305_SQL02CNT_IN","DB1003,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"281WT100AI","DB0046,D0152",DWord,1,R/W,1000,,,,,,,,,,"Vejetransmitter silo 18",
"CIP700_SQL01CNT_IN","DB1014,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"295WT100AI","DB0046,D0172",DWord,1,R/W,1000,,,,,,,,,,"Vægt melsilo",
"CIP700_SQL02CNT_IN","DB1015,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"305FT400AI","DB0046,D0240",DWord,1,R/W,1000,,,,,,,,,,"Flow ventilation",
"MX335_STEAMTIMEPAST","DB0150,D0036",DWord,1,R/W,1000,,,,,,,,,,"Tid damp tilsæt unde pasteursering",
"MX335_STEAMTIMECV900","DB0150,D0700",DWord,1,R/W,1000,,,,,,,,,,"Time steamvalve 3xxCV900 has been open",
"MX335_STEAMTIMEAV190","DB0150,D0704",DWord,1,R/W,1000,,,,,,,,,,"Time steamvalve 3xxAV190 has been open",
"CIP725_SQL01CNT_IN","DB1022,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"305NH180AI","DB0046,D0020",DWord,1,R/W,1000,,,,,,,,,,"NH3 måling Mixer 305",
"CIP725_SQL02CNT_IN","DB1023,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"MX325_STEAMTIMEPAST","DB0089,D0036",DWord,1,R/W,1000,,,,,,,,,,"Tid damp tilsæt unde pasteursering",
"305PC400CV","DB0110,D0072",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation control val",
"MX335_SQL02CNT_IN","DB1019,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"305PC400DB","DB0110,D0036",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation dead band",
"MX335_SQL01CNT_IN","DB1018,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"FL640_SQL01CNT_IN","DB1008,W0074",Word,1,R/W,1000,,,,,,,,,,"Rapport forsøg counter in",
"305PC400GAIN","DB0110,D0020",DWord,1,R/W,1000,,,,,,,,,,"PID Contoller ventilation gain",
