[NodeName : ORLIK;Database : orlik45;File Name : D:\Sinus\IFixApp\Orlik\PDB45\orlik45.csv;Date : 2018-03-01;Time : 10:44:40]
#AI239;AO24;AR2855;DR1520;DA604;CA103;SQD52;SQT34;ETR103;TXT150#

[BLOCK TYPE;TAG;NEXT BLK;DESCRIPTION;INITIAL SCAN;SCAN TIME;SMOOTHING;I/O DEVICE;H/W OPTIONS;I/O ADDRESS;SIGNAL CONDITIONING;LOW EGU LIMIT;HIGH EGU LIMIT;EGU TAG;INITIAL A/M STATUS;ALARM ENABLE;ALARM AREA(S);LO LO ALARM LIMIT;LO ALARM LIMIT;HI ALARM LIMIT;HI HI ALARM LIMIT;ROC ALARM LIMIT;DEAD BAND;ALARM PRIORITY;ENABLE OUTPUT;SECURITY AREA 1;SECURITY AREA 2;SECURITY AREA 3;ALARM AREA 1;ALARM AREA 2;ALARM AREA 3;ALARM AREA 4;ALARM AREA 5;ALARM AREA 6;ALARM AREA 7;ALARM AREA 8;ALARM AREA 9;ALARM AREA 10;ALARM AREA 11;ALARM AREA 12;ALARM AREA 13;ALARM AREA 14;ALARM AREA 15;USER FIELD 1;USER FIELD 2;ESIG TYPE;ESIG ALLOW CONT USE;ESIG XMPT ALARM ACK;ESIG UNSIGNED WRITES;PDR Update Rate;PDR Access Time;PDR Deadband;PDR Latch;PDR Disable Output;PDR Array Length;Hist Description;Hist Collect;Hist Interval;Hist Offset;Hist Time Res;Hist Compress;Hist Deadband;Hist Comp Type;Hist Comp Time;Scale Enabled;Scale Clamping;Scale Use EGU;Scale Raw Low;Scale Raw High;Scale Low;Scale High]
!A_NAME;A_TAG;A_NEXT;A_DESC;A_ISCAN;A_SCANT;A_SMOTH;A_IODV;A_IOHT;A_IOAD;A_IOSC;A_ELO;A_EHI;A_EGUDESC;A_IAM;A_IENAB;A_ADI;A_LOLO;A_LO;A_HI;A_HIHI;A_ROC;A_DBAND;A_PRI;A_EOUT;A_SA1;A_SA2;A_SA3;A_AREA1;A_AREA2;A_AREA3;A_AREA4;A_AREA5;A_AREA6;A_AREA7;A_AREA8;A_AREA9;A_AREA10;A_AREA11;A_AREA12;A_AREA13;A_AREA14;A_AREA15;A_ALMEXT1;A_ALMEXT2;A_ESIGTYPE;A_ESIGCONT;A_ESIGACK;A_ESIGTRAP;A_PDR_UPDATERATE;A_PDR_ACCESSTIME;A_PDR_DEADBAND;A_PDR_LATCHDATA;A_PDR_DISABLEOUT;A_PDR_ARRAYLENGTH;A_HIST_DESC;A_HIST_COLLECT;A_HIST_INTERVAL;A_HIST_OFFSET;A_HIST_TIMERES;A_HIST_COMPRESS;A_HIST_DEADBAND;A_HIST_COMPTYPE;A_HIST_COMPTIME;A_SCALE_ENABLED;A_SCALE_CLAMP;A_SCALE_USEEGU;A_SCALE_RAWLOW;A_SCALE_RAWHIGH;A_SCALE_LOW;A_SCALE_HIGH!
"AI";"CIP700_SQL01CNT_IN";"CIP700_SQL01CNT_OUT";"Rapport forsøg counter in";"ON";"1";"0";"SIX";"";"PLC01:DB1014,W0074";"SINT";"0,00";"100,00";"";"AUTO";"DISABLE";"NONE";"0,00";"0,00";"100,00";"100,00";"0,00";"5,00";"LOW";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0,00";"65 535,00";"0,00";"100,00"
"AI";"CIP700_SQL02CNT_IN";"CIP700_SQL02CNT_OUT";"Rapport forsøg counter in";"ON";"1";"0";"SIX";"";"PLC01:DB1015,W0074";"SINT";"0,00";"100,00";"";"AUTO";"DISABLE";"NONE";"0,00";"0,00";"100,00";"100,00";"0,00";"5,00";"LOW";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0,00";"65 535,00";"0,00";"100,00"
"AI";"277WT100AI";"277WT100CA";"Vejetransmitter silo 14";"ON";"1";"0";"SIX";"";"PLC01:DB0046,D0136";"FLT";"0";"1";"kg";"AUTO";"DISABLE";"NONE";"0";"0";"1";"1";"0";"0";"LOW";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0";"65 535";"0";"1"
"AI";"CIP725_SQL01CNT_IN";"CIP725_SQL01CNT_OUT";"Rapport forsøg counter in";"ON";"1";"0";"SIX";"";"PLC01:DB1022,W0074";"SINT";"0,00";"100,00";"";"AUTO";"DISABLE";"NONE";"0,00";"0,00";"100,00";"100,00";"0,00";"5,00";"LOW";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0,00";"65 535,00";"0,00";"100,00"
"AI";"278WT100AI";"278WT100CA";"Vejetransmitter silo 15";"ON";"1";"0";"SIX";"";"PLC01:DB0046,D0140";"FLT";"0";"1";"kg";"AUTO";"DISABLE";"NONE";"0";"0";"1";"1";"0";"0";"LOW";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0";"65 535";"0";"1"
"AI";"CIP725_SQL02CNT_IN";"CIP725_SQL02CNT_OUT";"Rapport forsøg counter in";"ON";"1";"0";"SIX";"";"PLC01:DB1023,W0074";"SINT";"0,00";"100,00";"";"AUTO";"DISABLE";"NONE";"0,00";"0,00";"100,00";"100,00";"0,00";"5,00";"LOW";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0,00";"65 535,00";"0,00";"100,00"
"AI";"279WT100AI";"279WT100CA";"Vejetransmitter silo 16";"ON";"1";"0";"SIX";"";"PLC01:DB0046,D0144";"FLT";"0";"1";"kg";"AUTO";"DISABLE";"NONE";"0";"0";"1";"1";"0";"0";"LOW";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0";"65 535";"0";"1"
"AI";"FL640_SQL01CNT_IN";"FL640_SQL01CNT_OUT";"Rapport forsøg counter in";"ON";"1";"0";"SIX";"";"PLC01:DB1008,W0074";"SINT";"0,00";"100,00";"";"AUTO";"DISABLE";"NONE";"0,00";"0,00";"100,00";"100,00";"0,00";"5,00";"LOW";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0,00";"65 535,00";"0,00";"100,00"
"AI";"280WT100AI";"280WT100CA";"Vejetransmitter silo 17";"ON";"1";"0";"SIX";"";"PLC01:DB0046,D0148";"FLT";"0";"1";"kg";"AUTO";"DISABLE";"NONE";"0";"0";"1";"1";"0";"0";"LOW";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0";"65 535";"0";"1"
